nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.408362	297.717000	-1.240120	137.160000
Bcobertura9Zona1ext	0.107434	297.726000	-0.343729	235.009000
Bcobertura13Zona1ext	0.146468	297.837000	-0.500989	-67.820900
Bcobertura14Zona1ext	0.277252	297.725000	-0.857686	125.913000
Bcobertura15Zona1ext	0.005618	297.989000	-0.022105	-139.874000
Bcobertura16Zona1ext	0.014159	298.022000	-0.044727	-151.855000
Bcobertura17Zona1ext	0.154377	297.876000	-0.528040	-82.830100
Bfachada0Zona2ext	0.001317	298.047000	-0.005985	-253.424000
Bfachada2Zona2ext	0.536608	297.889000	-1.618450	-71.408000
Bfachada0Zona3ext	0.000018	298.094000	-0.000084	-386.115000
Bfachada2Zona3ext	0.552075	298.018000	-1.742800	-404.637000
Bfachada0Zona4ext	0.000000	298.125000	-0.000000	-448.810000
Bfachada2Zona4ext	0.237782	298.098000	-0.780437	-482.546000
Bfachada0Zona5ext	0.000000	298.133000	-0.000000	-483.213000
Bfachada2Zona5ext	0.001670	298.136000	-0.007021	-503.848000
Bcobertura4Zona5ext	0.000000	298.136000	-0.000000	-501.496000
Bfachada1Zona6ext	0.000003	298.062000	-0.000014	-235.899000
Bfachada3Zona6ext	0.438299	297.889000	-1.234350	-72.112400
Bfachada1Zona7ext	0.000000	298.107000	-0.000000	-381.477000
Bfachada3Zona7ext	0.470688	298.024000	-1.471730	-409.257000
Bfachada1Zona8ext	0.000000	298.129000	-0.000000	-455.066000
Bfachada3Zona8ext	0.163265	298.112000	-0.531070	-484.444000
Bfachada1Zona9ext	0.000000	298.136000	-0.000000	-488.892000
Bfachada3Zona9ext	0.000040	298.139000	-0.000175	-497.347000
Bcobertura4Zona9ext	0.000000	298.139000	-0.000000	-500.717000
Bfachada0Zona10ext	0.225032	298.048000	-0.709309	-367.914000
Bfachada5Zona10ext	0.040822	298.098000	-0.144676	-393.866000
Bfachada6Zona10ext	0.023238	298.094000	-0.076794	-402.355000
Bcobertura7Zona10ext	0.000000	298.137000	-0.000000	-498.967000
Bfachada0Zona11ext	0.027126	298.104000	-0.092985	-389.740000
Bfachada5Zona11ext	0.296780	298.041000	-0.954844	-368.043000
Bfachada6Zona11ext	0.108605	298.084000	-0.345746	-402.426000
Bcobertura7Zona11ext	0.000000	298.138000	-0.000000	-497.859000
Bfachada0Zona12ext	0.228049	298.053000	-0.726491	-384.059000
Bfachada1Zona12ext	0.004213	298.097000	-0.013295	-401.501000
Bfachada2Zona12ext	0.000012	298.106000	-0.000055	-393.366000
Bcobertura7Zona12ext	0.000000	298.136000	-0.000000	-498.153000
Bfachada0Zona13ext	0.155353	298.086000	-0.501697	-393.917000
Bfachada1Zona13ext	0.032300	298.087000	-0.108989	-396.650000
Bfachada2Zona13ext	0.103353	298.060000	-0.303314	-379.451000
Bcobertura7Zona13ext	0.000000	298.138000	-0.000000	-497.754000

