nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.271924	297.734000	-0.914229	121.022000
Bcobertura9Zona1ext	0.109134	297.745000	-0.349584	98.670500
Bcobertura13Zona1ext	0.173251	297.808000	-0.596472	-197.649000
Bcobertura14Zona1ext	0.372439	297.660000	-1.205470	29.076000
Bcobertura15Zona1ext	0.025029	297.897000	-0.092412	-240.926000
Bcobertura16Zona1ext	0.085482	297.831000	-0.294910	-175.604000
Bcobertura17Zona1ext	0.244511	297.857000	-0.832585	-190.417000
Bfachada0Zona2ext	0.338590	297.964000	-1.146100	-396.999000
Bfachada2Zona2ext	0.384013	297.841000	-1.307100	-190.597000
Bfachada0Zona3ext	0.260938	298.061000	-0.898282	-568.760000
Bfachada2Zona3ext	0.400899	297.994000	-1.339640	-537.332000
Bfachada0Zona4ext	0.028833	298.123000	-0.108726	-628.169000
Bfachada2Zona4ext	0.105694	298.110000	-0.361374	-639.807000
Bfachada0Zona5ext	0.000001	298.135000	-0.000004	-661.285000
Bfachada2Zona5ext	0.000364	298.138000	-0.001196	-667.453000
Bcobertura4Zona5ext	0.000000	298.137000	-0.000000	-674.350000
Bfachada1Zona6ext	0.469540	297.945000	-1.521640	-376.860000
Bfachada3Zona6ext	0.516725	297.873000	-1.543000	-190.948000
Bfachada1Zona7ext	0.305637	298.052000	-1.048860	-564.483000
Bfachada3Zona7ext	0.532515	297.997000	-1.690340	-541.266000
Bfachada1Zona8ext	0.019421	298.126000	-0.079957	-620.305000
Bfachada3Zona8ext	0.218148	298.096000	-0.703698	-641.498000
Bfachada1Zona9ext	0.000004	298.136000	-0.000020	-652.879000
Bfachada3Zona9ext	0.043002	298.130000	-0.151515	-666.956000
Bcobertura4Zona9ext	0.000000	298.139000	-0.000000	-670.469000
Bfachada0Zona10ext	0.275951	298.037000	-0.855867	-506.226000
Bfachada5Zona10ext	0.173607	298.068000	-0.541268	-560.938000
Bfachada6Zona10ext	0.496574	298.020000	-1.595870	-550.099000
Bcobertura7Zona10ext	0.001760	298.135000	-0.009590	-672.126000
Bfachada0Zona11ext	0.376549	298.033000	-1.214920	-545.390000
Bfachada5Zona11ext	0.440538	298.003000	-1.395900	-507.087000
Bfachada6Zona11ext	0.483371	298.016000	-1.573840	-550.608000
Bcobertura7Zona11ext	0.000452	298.137000	-0.002318	-671.083000
Bfachada0Zona12ext	0.301445	298.035000	-0.976216	-543.236000
Bfachada1Zona12ext	0.005514	298.098000	-0.017989	-576.485000
Bfachada2Zona12ext	0.000503	298.099000	-0.002206	-567.429000
Bcobertura7Zona12ext	0.000000	298.136000	-0.000000	-675.753000
Bfachada0Zona13ext	0.243480	298.055000	-0.792423	-556.008000
Bfachada1Zona13ext	0.015328	298.069000	-0.044022	-560.189000
Bfachada2Zona13ext	0.110129	298.044000	-0.339614	-537.142000
Bcobertura7Zona13ext	0.000000	298.138000	-0.000000	-672.410000

