nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.259446	297.811000	-0.717531	47.283900
Bcobertura9Zona1ext	0.146743	297.839000	-0.402605	95.580500
Bcobertura13Zona1ext	0.140426	297.930000	-0.375596	-118.411000
Bcobertura14Zona1ext	0.287571	297.804000	-0.772248	91.420600
Bcobertura15Zona1ext	0.175320	297.914000	-0.484771	-69.848800
Bcobertura16Zona1ext	0.000329	298.066000	-0.000644	-184.611000
Bcobertura17Zona1ext	0.141884	297.909000	-0.380030	-92.595800
Bfachada0Zona2ext	0.683320	297.972000	-1.694240	-158.079000
Bfachada2Zona2ext	0.113488	298.032000	-0.309309	-126.294000
Bfachada0Zona3ext	0.623844	298.032000	-1.590780	-342.677000
Bfachada2Zona3ext	0.029374	298.123000	-0.087436	-336.018000
Bfachada0Zona4ext	0.404063	298.081000	-1.057660	-402.104000
Bfachada2Zona4ext	0.000224	298.141000	-0.000835	-403.278000
Bfachada0Zona5ext	0.075892	298.130000	-0.211850	-425.101000
Bfachada2Zona5ext	0.002046	298.141000	-0.005480	-419.848000
Bcobertura4Zona5ext	0.000000	298.143000	-0.000002	-426.508000
Bfachada1Zona6ext	0.000000	298.097000	-0.000000	-249.764000
Bfachada3Zona6ext	0.457938	297.951000	-1.168020	-123.067000
Bfachada1Zona7ext	0.000000	298.123000	-0.000000	-344.287000
Bfachada3Zona7ext	0.401216	298.050000	-1.079880	-341.384000
Bfachada1Zona8ext	0.000000	298.137000	-0.000000	-396.650000
Bfachada3Zona8ext	0.116350	298.116000	-0.339774	-401.016000
Bfachada1Zona9ext	0.000000	298.141000	-0.000000	-419.220000
Bfachada3Zona9ext	0.000848	298.141000	-0.003023	-422.800000
Bcobertura4Zona9ext	0.000000	298.142000	-0.000000	-426.552000
Bfachada0Zona10ext	0.027395	298.095000	-0.068194	-333.482000
Bfachada5Zona10ext	0.245347	298.076000	-0.622235	-342.931000
Bfachada6Zona10ext	0.007284	298.091000	-0.017472	-347.523000
Bcobertura7Zona10ext	0.000003	298.143000	-0.000014	-427.648000
Bfachada0Zona11ext	0.000028	298.122000	-0.000072	-352.695000
Bfachada5Zona11ext	0.245460	298.064000	-0.644220	-335.020000
Bfachada6Zona11ext	0.010049	298.120000	-0.027618	-357.599000
Bcobertura7Zona11ext	0.000000	298.142000	-0.000000	-427.308000
Bfachada0Zona12ext	0.039033	298.078000	-0.100296	-329.868000
Bfachada1Zona12ext	0.011222	298.098000	-0.027289	-351.165000
Bfachada2Zona12ext	0.106981	298.094000	-0.267241	-343.083000
Bcobertura7Zona12ext	0.000000	298.143000	-0.000001	-424.619000
Bfachada0Zona13ext	0.000010	298.118000	-0.000037	-352.101000
Bfachada1Zona13ext	0.112326	298.098000	-0.308238	-352.702000
Bfachada2Zona13ext	0.305585	298.061000	-0.773810	-328.258000
Bcobertura7Zona13ext	0.000000	298.142000	-0.000000	-423.058000

