nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.262430	297.818000	-0.702611	131.354000
Bcobertura9Zona1ext	0.025509	297.867000	-0.063787	165.704000
Bcobertura13Zona1ext	0.165377	297.930000	-0.457697	-59.052100
Bcobertura14Zona1ext	0.250329	297.788000	-0.681399	143.537000
Bcobertura15Zona1ext	0.091551	297.895000	-0.261379	-19.944600
Bcobertura16Zona1ext	0.000000	298.039000	-0.000000	-114.528000
Bcobertura17Zona1ext	0.147790	297.907000	-0.406708	-38.586000
Bfachada0Zona2ext	0.500578	297.993000	-1.272750	-169.595000
Bfachada2Zona2ext	0.397553	297.946000	-0.982751	-53.810100
Bfachada0Zona3ext	0.344821	298.071000	-0.913108	-302.783000
Bfachada2Zona3ext	0.396718	298.046000	-1.041630	-291.925000
Bfachada0Zona4ext	0.046618	298.128000	-0.138747	-335.560000
Bfachada2Zona4ext	0.125704	298.111000	-0.344264	-344.632000
Bfachada0Zona5ext	0.000047	298.141000	-0.000177	-354.901000
Bfachada2Zona5ext	0.081948	298.132000	-0.064894	-359.211000
Bcobertura4Zona5ext	0.000131	298.143000	-0.000463	-364.052000
Bfachada1Zona6ext	0.000000	298.082000	-0.000000	-202.037000
Bfachada3Zona6ext	0.289336	297.957000	-0.661240	-51.931500
Bfachada1Zona7ext	0.000000	298.126000	-0.000000	-299.855000
Bfachada3Zona7ext	0.260043	298.071000	-0.668800	-294.106000
Bfachada1Zona8ext	0.000995	298.137000	-0.000000	-336.168000
Bfachada3Zona8ext	0.063585	298.125000	-0.182850	-345.370000
Bfachada1Zona9ext	0.000996	298.140000	-0.000000	-356.084000
Bfachada3Zona9ext	0.000530	298.142000	-0.001829	-363.249000
Bcobertura4Zona9ext	0.000000	298.142000	-0.000000	-364.956000
Bfachada0Zona10ext	0.276867	298.059000	-0.708831	-273.910000
Bfachada5Zona10ext	0.195068	298.086000	-0.514245	-293.940000
Bfachada6Zona10ext	0.243306	298.079000	-0.638709	-299.592000
Bcobertura7Zona10ext	0.000117	298.143000	-0.000361	-364.433000
Bfachada0Zona11ext	0.083150	298.112000	-0.142106	-304.764000
Bfachada5Zona11ext	0.254471	298.061000	-0.656191	-273.946000
Bfachada6Zona11ext	0.007449	298.111000	-0.020214	-314.139000
Bcobertura7Zona11ext	0.000000	298.142000	-0.000000	-365.949000
Bfachada0Zona12ext	0.250443	298.057000	-0.565868	-273.057000
Bfachada1Zona12ext	0.118754	298.104000	-0.319178	-293.058000
Bfachada2Zona12ext	0.197406	298.089000	-0.520321	-288.520000
Bcobertura7Zona12ext	0.000001	298.143000	-0.000002	-363.452000
Bfachada0Zona13ext	0.128325	298.103000	-0.310471	-289.560000
Bfachada1Zona13ext	0.006999	298.107000	-0.017160	-300.230000
Bfachada2Zona13ext	0.186906	298.070000	-0.471001	-277.654000
Bcobertura7Zona13ext	0.000000	298.143000	-0.000000	-364.806000

