nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.287939	297.053000	-0.193019	40.056600
Bcobertura9Zona1ext	0.126491	297.063000	-0.093248	74.511300
Bcobertura13Zona1ext	0.258792	297.079000	-0.181163	10.522000
Bcobertura14Zona1ext	0.122036	297.058000	-0.079828	78.564000
Bcobertura15Zona1ext	0.014020	297.111000	-0.008919	-22.139600
Bcobertura16Zona1ext	0.110884	297.078000	-0.077311	7.189390
Bcobertura17Zona1ext	0.090857	297.086000	-0.056670	-8.956480
Bfachada0Zona2ext	0.307172	297.133000	-0.036204	-1036.000000
Bfachada2Zona2ext	0.416790	297.105000	-0.148720	-971.482000
Bfachada0Zona3ext	0.375809	297.141000	-0.042787	-3034.570000
Bfachada2Zona3ext	0.458551	297.122000	-0.165190	-3013.480000
Bfachada0Zona4ext	0.341465	297.143000	-0.039765	-5012.560000
Bfachada2Zona4ext	0.413131	297.132000	-0.152940	-5013.290000
Bfachada0Zona5ext	0.249864	297.145000	-0.033137	-6985.420000
Bfachada2Zona5ext	0.261221	297.140000	-0.100685	-6990.500000
Bcobertura4Zona5ext	0.050440	297.146000	-0.037136	-7967.990000
Bfachada1Zona6ext	0.460612	297.114000	-0.167985	-1017.840000
Bfachada3Zona6ext	0.358793	297.104000	-0.125504	-970.921000
Bfachada1Zona7ext	0.464969	297.126000	-0.169529	-3033.380000
Bfachada3Zona7ext	0.445141	297.122000	-0.159248	-3013.860000
Bfachada1Zona8ext	0.390139	297.133000	-0.144722	-5012.480000
Bfachada3Zona8ext	0.408104	297.133000	-0.148041	-5013.440000
Bfachada1Zona9ext	0.261716	297.140000	-0.100860	-6986.140000
Bfachada3Zona9ext	0.266001	297.143000	-0.052691	-6989.670000
Bcobertura4Zona9ext	0.046153	297.146000	-0.033987	-7967.720000
Bfachada0Zona10ext	0.317035	297.126000	-0.116466	-4011.520000
Bfachada5Zona10ext	0.206263	297.140000	-0.024887	-4019.100000
Bfachada6Zona10ext	0.144154	297.138000	-0.054379	-4011.970000
Bcobertura7Zona10ext	0.062771	297.143000	-0.045772	-7968.530000
Bfachada0Zona11ext	0.314705	297.130000	-0.116779	-4017.800000
Bfachada5Zona11ext	0.295771	297.127000	-0.094051	-4011.310000
Bfachada6Zona11ext	0.127800	297.138000	-0.049016	-4011.000000
Bcobertura7Zona11ext	0.069244	297.142000	-0.051136	-7968.510000
Bfachada0Zona12ext	0.409989	297.121000	-0.148869	-3998.230000
Bfachada1Zona12ext	0.423640	297.124000	-0.120620	-4017.050000
Bfachada2Zona12ext	0.335543	297.140000	-0.040717	-4017.650000
Bcobertura7Zona12ext	0.165418	297.135000	-0.122635	-7967.970000
Bfachada0Zona13ext	0.420214	297.126000	-0.154509	-4012.020000
Bfachada1Zona13ext	0.405505	297.123000	-0.116393	-4013.020000
Bfachada2Zona13ext	0.381174	297.123000	-0.110018	-3998.080000
Bcobertura7Zona13ext	0.158541	297.136000	-0.118587	-7967.810000

