nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.313992	297.729000	-1.060680	69.105100
Bcobertura9Zona1ext	0.122474	297.776000	-0.432054	83.300600
Bcobertura13Zona1ext	0.151416	297.875000	-0.533242	-168.962000
Bcobertura14Zona1ext	0.274709	297.711000	-0.943648	82.097500
Bcobertura15Zona1ext	0.140558	297.866000	-0.481270	-141.374000
Bcobertura16Zona1ext	0.000001	298.007000	-0.000007	-233.289000
Bcobertura17Zona1ext	0.227118	297.810000	-0.757440	-138.165000
Bfachada0Zona2ext	0.458518	297.959000	-1.485970	-315.366000
Bfachada2Zona2ext	0.247763	297.944000	-0.710791	-163.354000
Bfachada0Zona3ext	0.434508	298.035000	-1.424520	-481.638000
Bfachada2Zona3ext	0.548829	298.004000	-1.650300	-454.956000
Bfachada0Zona4ext	0.283459	298.075000	-0.967690	-533.781000
Bfachada2Zona4ext	0.435513	298.050000	-1.431840	-540.301000
Bfachada0Zona5ext	0.055638	298.125000	-0.202941	-563.315000
Bfachada2Zona5ext	0.112862	298.114000	-0.406377	-565.448000
Bcobertura4Zona5ext	0.000072	298.140000	-0.000331	-572.695000
Bfachada1Zona6ext	0.000000	298.059000	-0.000000	-347.105000
Bfachada3Zona6ext	0.524424	297.893000	-1.654090	-169.114000
Bfachada1Zona7ext	0.000000	298.117000	-0.000000	-471.978000
Bfachada3Zona7ext	0.486555	298.007000	-1.600100	-453.188000
Bfachada1Zona8ext	0.000000	298.130000	-0.000000	-521.818000
Bfachada3Zona8ext	0.211476	298.093000	-0.727760	-540.629000
Bfachada1Zona9ext	0.000000	298.135000	-0.000000	-555.547000
Bfachada3Zona9ext	0.012183	298.134000	-0.049041	-570.354000
Bcobertura4Zona9ext	0.000000	298.138000	-0.000000	-571.863000
Bfachada0Zona10ext	0.147804	298.045000	-0.455039	-446.337000
Bfachada5Zona10ext	0.424638	298.032000	-1.358340	-461.219000
Bfachada6Zona10ext	0.027182	298.081000	-0.083370	-472.857000
Bcobertura7Zona10ext	0.000003	298.140000	-0.000016	-572.216000
Bfachada0Zona11ext	0.000000	298.108000	-0.000000	-475.049000
Bfachada5Zona11ext	0.324016	298.040000	-1.057130	-448.448000
Bfachada6Zona11ext	0.013222	298.099000	-0.047127	-491.210000
Bcobertura7Zona11ext	0.000000	298.138000	-0.000000	-573.290000
Bfachada0Zona12ext	0.085709	298.058000	-0.275130	-448.691000
Bfachada1Zona12ext	0.010041	298.090000	-0.030812	-474.900000
Bfachada2Zona12ext	0.001845	298.102000	-0.006851	-475.247000
Bcobertura7Zona12ext	0.000009	298.139000	-0.000039	-571.785000
Bfachada0Zona13ext	0.000000	298.109000	-0.000001	-475.372000
Bfachada1Zona13ext	0.103823	298.088000	-0.365046	-489.723000
Bfachada2Zona13ext	0.377560	298.030000	-1.223040	-449.280000
Bcobertura7Zona13ext	0.000000	298.138000	-0.000000	-571.090000

