nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.283341	297.783000	-0.737944	153.388000
Bcobertura9Zona1ext	0.042480	297.851000	-0.109450	133.696000
Bcobertura13Zona1ext	0.149648	297.926000	-0.397522	-109.669000
Bcobertura14Zona1ext	0.254080	297.806000	-0.661358	78.470300
Bcobertura15Zona1ext	0.015281	297.991000	-0.050544	-122.910000
Bcobertura16Zona1ext	0.000160	298.041000	-0.000472	-162.536000
Bcobertura17Zona1ext	0.196884	297.936000	-0.531457	-95.434100
Bfachada0Zona2ext	0.119518	298.023000	-0.370629	-243.792000
Bfachada2Zona2ext	0.378735	297.955000	-0.833699	-87.984700
Bfachada0Zona3ext	0.008714	298.113000	-0.030547	-344.406000
Bfachada2Zona3ext	0.432375	298.054000	-1.057300	-357.235000
Bfachada0Zona4ext	0.000011	298.133000	-0.000040	-389.214000
Bfachada2Zona4ext	0.284333	298.099000	-0.740562	-418.590000
Bfachada0Zona5ext	0.000000	298.138000	-0.000000	-416.862000
Bfachada2Zona5ext	0.026304	298.137000	-0.078640	-431.196000
Bcobertura4Zona5ext	0.000000	298.141000	-0.000000	-431.215000
Bfachada1Zona6ext	0.000000	298.071000	-0.000000	-243.456000
Bfachada3Zona6ext	0.318057	297.915000	-0.855162	-101.754000
Bfachada1Zona7ext	0.000000	298.121000	-0.000000	-352.670000
Bfachada3Zona7ext	0.270496	298.053000	-0.721786	-349.501000
Bfachada1Zona8ext	0.000000	298.135000	-0.000000	-398.665000
Bfachada3Zona8ext	0.024446	298.135000	-0.065478	-411.217000
Bfachada1Zona9ext	0.000000	298.140000	-0.000000	-421.805000
Bfachada3Zona9ext	0.000284	298.142000	-0.000900	-428.867000
Bcobertura4Zona9ext	0.000000	298.142000	-0.000000	-432.305000
Bfachada0Zona10ext	0.331385	298.057000	-0.829234	-322.664000
Bfachada5Zona10ext	0.064069	298.104000	-0.175617	-348.433000
Bfachada6Zona10ext	0.261659	298.074000	-0.688718	-356.006000
Bcobertura7Zona10ext	0.000000	298.141000	-0.000000	-433.626000
Bfachada0Zona11ext	0.001141	298.122000	-0.003370	-355.688000
Bfachada5Zona11ext	0.242683	298.051000	-0.646614	-322.152000
Bfachada6Zona11ext	0.314240	298.067000	-0.826064	-357.273000
Bcobertura7Zona11ext	0.000000	298.142000	-0.000000	-433.483000
Bfachada0Zona12ext	0.099368	298.082000	-0.237102	-335.984000
Bfachada1Zona12ext	0.007383	298.099000	-0.017618	-350.874000
Bfachada2Zona12ext	0.038133	298.109000	-0.113357	-350.021000
Bcobertura7Zona12ext	0.000000	298.142000	-0.000000	-428.646000
Bfachada0Zona13ext	0.000000	298.116000	-0.000000	-354.853000
Bfachada1Zona13ext	0.003905	298.111000	-0.009094	-356.576000
Bfachada2Zona13ext	0.215128	298.066000	-0.566718	-338.718000
Bcobertura7Zona13ext	0.000000	298.142000	-0.000000	-429.439000

