nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.270135	297.071000	-0.187107	35.226600
Bcobertura9Zona1ext	0.227943	297.082000	-0.174036	73.611800
Bcobertura13Zona1ext	0.332781	297.097000	-0.239312	-1.804570
Bcobertura14Zona1ext	0.334379	297.075000	-0.226944	80.359400
Bcobertura15Zona1ext	0.158630	297.128000	-0.107475	-49.405700
Bcobertura16Zona1ext	0.254888	297.105000	-0.185493	-28.456300
Bcobertura17Zona1ext	0.327983	297.109000	-0.223305	-42.164200
Bfachada0Zona2ext	0.467767	297.168000	-0.074099	-1025.100000
Bfachada2Zona2ext	0.531816	297.133000	-0.205656	-946.263000
Bfachada0Zona3ext	0.495111	297.173000	-0.072225	-2954.590000
Bfachada2Zona3ext	0.586095	297.151000	-0.228000	-2929.030000
Bfachada0Zona4ext	0.459274	297.174000	-0.067382	-4857.070000
Bfachada2Zona4ext	0.550407	297.160000	-0.219107	-4861.790000
Bfachada0Zona5ext	0.397880	297.173000	-0.065767	-6763.480000
Bfachada2Zona5ext	0.448441	297.166000	-0.186148	-6766.160000
Bcobertura4Zona5ext	0.314169	297.159000	-0.240438	-7694.720000
Bfachada1Zona6ext	0.549322	297.148000	-0.218839	-1002.820000
Bfachada3Zona6ext	0.467609	297.134000	-0.178989	-946.065000
Bfachada1Zona7ext	0.553621	297.159000	-0.219873	-2953.740000
Bfachada3Zona7ext	0.561222	297.153000	-0.217909	-2929.170000
Bfachada1Zona8ext	0.479435	297.163000	-0.192526	-4856.560000
Bfachada3Zona8ext	0.535078	297.162000	-0.209504	-4861.900000
Bfachada1Zona9ext	0.399703	297.167000	-0.166600	-6763.780000
Bfachada3Zona9ext	0.428892	297.171000	-0.099337	-6765.750000
Bcobertura4Zona9ext	0.311532	297.160000	-0.239253	-7694.460000
Bfachada0Zona10ext	0.396652	297.155000	-0.158418	-3891.710000
Bfachada5Zona10ext	0.369230	297.173000	-0.057545	-3913.590000
Bfachada6Zona10ext	0.322073	297.174000	-0.132875	-3866.600000
Bcobertura7Zona10ext	0.233909	297.162000	-0.178001	-7702.050000
Bfachada0Zona11ext	0.422966	297.162000	-0.171194	-3912.000000
Bfachada5Zona11ext	0.375131	297.157000	-0.131569	-3892.150000
Bfachada6Zona11ext	0.323370	297.174000	-0.135104	-3866.280000
Bcobertura7Zona11ext	0.223470	297.163000	-0.171120	-7702.620000
Bfachada0Zona12ext	0.553195	297.150000	-0.217320	-3875.930000
Bfachada1Zona12ext	0.423901	297.157000	-0.134559	-3910.100000
Bfachada2Zona12ext	0.481850	297.170000	-0.073849	-3900.250000
Bcobertura7Zona12ext	0.348657	297.152000	-0.263450	-7695.780000
Bfachada0Zona13ext	0.527707	297.158000	-0.211015	-3895.860000
Bfachada1Zona13ext	0.451725	297.157000	-0.145426	-3908.160000
Bfachada2Zona13ext	0.535226	297.153000	-0.170591	-3877.100000
Bcobertura7Zona13ext	0.345366	297.154000	-0.263715	-7697.570000

