nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.302129	297.699000	-1.015470	129.842000
Bcobertura9Zona1ext	0.087869	297.727000	-0.286355	152.838000
Bcobertura13Zona1ext	0.125947	297.876000	-0.415547	-109.005000
Bcobertura14Zona1ext	0.260965	297.703000	-0.851102	97.418000
Bcobertura15Zona1ext	0.172532	297.775000	-0.594028	-14.678800
Bcobertura16Zona1ext	0.166736	297.807000	-0.601215	-62.308700
Bcobertura17Zona1ext	0.180455	297.820000	-0.571986	-49.494600
Bfachada0Zona2ext	0.665578	297.910000	-2.077130	-229.122000
Bfachada2Zona2ext	0.526220	297.888000	-1.571010	-143.592000
Bfachada0Zona3ext	0.618344	297.998000	-1.963690	-478.699000
Bfachada2Zona3ext	0.519471	298.021000	-1.669320	-474.321000
Bfachada0Zona4ext	0.418037	298.058000	-1.353050	-557.226000
Bfachada2Zona4ext	0.185356	298.104000	-0.627335	-554.995000
Bfachada0Zona5ext	0.062234	298.126000	-0.214297	-592.638000
Bfachada2Zona5ext	0.000202	298.137000	-0.000817	-584.376000
Bcobertura4Zona5ext	0.000000	298.137000	-0.000000	-596.831000
Bfachada1Zona6ext	0.599012	297.929000	-1.893560	-263.664000
Bfachada3Zona6ext	0.392247	297.835000	-1.283210	-150.648000
Bfachada1Zona7ext	0.481177	298.006000	-1.566920	-464.377000
Bfachada3Zona7ext	0.408999	298.010000	-1.357530	-471.207000
Bfachada1Zona8ext	0.153136	298.081000	-0.537872	-531.106000
Bfachada3Zona8ext	0.063264	298.120000	-0.220964	-552.457000
Bfachada1Zona9ext	0.000847	298.131000	-0.003573	-571.984000
Bfachada3Zona9ext	0.000000	298.137000	-0.000002	-583.645000
Bcobertura4Zona9ext	0.000000	298.138000	-0.000000	-593.442000
Bfachada0Zona10ext	0.249145	298.032000	-0.827367	-444.033000
Bfachada5Zona10ext	0.507825	298.013000	-1.617170	-461.543000
Bfachada6Zona10ext	0.109246	298.073000	-0.348921	-467.259000
Bcobertura7Zona10ext	0.000000	298.139000	-0.000001	-601.220000
Bfachada0Zona11ext	0.183957	298.059000	-0.603212	-467.031000
Bfachada5Zona11ext	0.119902	298.051000	-0.362007	-439.667000
Bfachada6Zona11ext	0.029940	298.090000	-0.103971	-469.137000
Bcobertura7Zona11ext	0.000000	298.136000	-0.000000	-593.378000
Bfachada0Zona12ext	0.220005	298.039000	-0.709416	-456.742000
Bfachada1Zona12ext	0.004806	298.096000	-0.013828	-459.470000
Bfachada2Zona12ext	0.252231	298.047000	-0.834018	-467.174000
Bcobertura7Zona12ext	0.000000	298.136000	-0.000000	-594.255000
Bfachada0Zona13ext	0.202799	298.060000	-0.678428	-466.240000
Bfachada1Zona13ext	0.004510	298.077000	-0.011641	-464.107000
Bfachada2Zona13ext	0.181154	298.051000	-0.575651	-458.162000
Bcobertura7Zona13ext	0.000000	298.136000	-0.000000	-593.725000

