nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.499973	297.221000	0.398101	-11.808600
Bcobertura9Zona1ext	0.750437	297.211000	0.524231	-126.276000
Bcobertura13Zona1ext	0.386475	297.189000	0.302810	11.815700
Bcobertura14Zona1ext	0.859801	297.213000	0.693039	-228.708000
Bcobertura15Zona1ext	0.452355	297.217000	0.398012	-5.880710
Bcobertura16Zona1ext	0.480719	297.213000	0.380224	-13.756800
Bcobertura17Zona1ext	0.392809	297.186000	0.341592	19.865100
Bfachada0Zona2ext	0.547679	297.280000	0.726338	-959.639000
Bfachada2Zona2ext	0.809930	297.266000	0.917021	-1096.620000
Bfachada0Zona3ext	0.659313	297.248000	0.909429	-2916.480000
Bfachada2Zona3ext	0.880873	297.244000	1.034890	-3096.760000
Bfachada0Zona4ext	0.775595	297.249000	1.068870	-4891.790000
Bfachada2Zona4ext	0.940102	297.248000	1.099960	-5066.530000
Bfachada0Zona5ext	0.870605	297.251000	1.178480	-6910.210000
Bfachada2Zona5ext	0.944673	297.246000	1.092730	-7033.070000
Bcobertura4Zona5ext	0.682307	297.283000	0.502080	-8137.950000
Bfachada1Zona6ext	0.569884	297.266000	0.648879	-969.276000
Bfachada3Zona6ext	0.781982	297.262000	0.891490	-1095.030000
Bfachada1Zona7ext	0.668033	297.240000	0.788131	-2924.270000
Bfachada3Zona7ext	0.857438	297.251000	1.006550	-3086.760000
Bfachada1Zona8ext	0.754530	297.239000	0.890742	-4896.770000
Bfachada3Zona8ext	0.951981	297.256000	1.159310	-5085.310000
Bfachada1Zona9ext	0.853525	297.241000	0.992772	-6905.460000
Bfachada3Zona9ext	1.002310	297.266000	1.321230	-7081.990000
Bcobertura4Zona9ext	0.753293	297.225000	0.594553	-8099.710000
Bfachada0Zona10ext	0.796177	297.253000	0.921838	-3950.100000
Bfachada5Zona10ext	0.668193	297.244000	0.915994	-3933.590000
Bfachada6Zona10ext	0.492550	297.211000	0.594485	-3896.460000
Bcobertura7Zona10ext	0.653592	297.238000	0.508749	-8056.110000
Bfachada0Zona11ext	0.672054	297.238000	0.789285	-3956.340000
Bfachada5Zona11ext	0.758261	297.250000	0.924272	-3947.340000
Bfachada6Zona11ext	0.463329	297.205000	0.560004	-3904.580000
Bcobertura7Zona11ext	0.621475	297.223000	0.490959	-8024.630000
Bfachada0Zona12ext	0.842758	297.233000	0.990561	-4195.450000
Bfachada1Zona12ext	0.709920	297.223000	0.880042	-4008.520000
Bfachada2Zona12ext	0.765838	297.267000	1.036100	-3919.460000
Bcobertura7Zona12ext	0.735289	297.255000	0.564158	-8187.040000
Bfachada0Zona13ext	0.739209	297.254000	0.857137	-3919.200000
Bfachada1Zona13ext	0.495932	297.198000	0.628694	-3935.130000
Bfachada2Zona13ext	0.730079	297.228000	0.916259	-4154.600000
Bcobertura7Zona13ext	0.675033	297.200000	0.546619	-8120.040000

