nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.349017	297.793000	-0.949389	123.630000
Bcobertura9Zona1ext	0.048209	297.814000	-0.145145	166.197000
Bcobertura13Zona1ext	0.167389	297.908000	-0.443154	-101.692000
Bcobertura14Zona1ext	0.352749	297.763000	-0.939938	150.699000
Bcobertura15Zona1ext	0.135555	297.880000	-0.365655	-61.257600
Bcobertura16Zona1ext	0.087215	297.935000	-0.241430	-104.856000
Bcobertura17Zona1ext	0.158443	297.874000	-0.418794	-57.476300
Bfachada0Zona2ext	0.634031	297.971000	-1.589390	-206.278000
Bfachada2Zona2ext	0.402117	297.921000	-0.984021	-68.735600
Bfachada0Zona3ext	0.559463	298.036000	-1.430890	-381.560000
Bfachada2Zona3ext	0.457701	298.022000	-1.177170	-351.872000
Bfachada0Zona4ext	0.286320	298.088000	-0.756777	-431.816000
Bfachada2Zona4ext	0.229267	298.094000	-0.627572	-439.297000
Bfachada0Zona5ext	0.013844	298.136000	-0.042042	-456.415000
Bfachada2Zona5ext	0.026873	298.136000	-0.083147	-462.294000
Bcobertura4Zona5ext	0.000019	298.143000	-0.000072	-467.791000
Bfachada1Zona6ext	0.478617	297.993000	-1.158990	-237.889000
Bfachada3Zona6ext	0.360428	297.871000	-0.999378	-76.091500
Bfachada1Zona7ext	0.457745	298.050000	-1.068560	-387.737000
Bfachada3Zona7ext	0.362246	298.008000	-1.021170	-346.957000
Bfachada1Zona8ext	0.259708	298.096000	-0.526237	-432.654000
Bfachada3Zona8ext	0.113480	298.109000	-0.324808	-438.222000
Bfachada1Zona9ext	0.048321	298.133000	-0.137097	-459.050000
Bfachada3Zona9ext	0.012601	298.137000	-0.030998	-468.304000
Bcobertura4Zona9ext	0.000005	298.141000	-0.000023	-467.774000
Bfachada0Zona10ext	0.427344	298.031000	-1.078790	-343.677000
Bfachada5Zona10ext	0.441306	298.049000	-1.120550	-372.737000
Bfachada6Zona10ext	0.272417	298.078000	-0.581778	-385.477000
Bcobertura7Zona10ext	0.001950	298.136000	-0.008386	-466.275000
Bfachada0Zona11ext	0.288073	298.068000	-0.756700	-377.521000
Bfachada5Zona11ext	0.319262	298.050000	-0.836638	-349.521000
Bfachada6Zona11ext	0.012234	298.098000	-0.031807	-383.788000
Bcobertura7Zona11ext	0.000005	298.141000	-0.000023	-467.287000
Bfachada0Zona12ext	0.222199	298.056000	-0.568370	-350.157000
Bfachada1Zona12ext	0.011812	298.111000	-0.029990	-381.685000
Bfachada2Zona12ext	0.123631	298.086000	-0.318510	-378.915000
Bcobertura7Zona12ext	0.000008	298.143000	-0.000034	-467.386000
Bfachada0Zona13ext	0.071616	298.105000	-0.137797	-382.332000
Bfachada1Zona13ext	0.006310	298.106000	-0.014431	-394.803000
Bfachada2Zona13ext	0.295103	298.054000	-0.756584	-352.174000
Bcobertura7Zona13ext	0.000000	298.140000	-0.000002	-467.676000

