nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.321009	297.050000	-0.214047	44.920700
Bcobertura9Zona1ext	0.206652	297.064000	-0.153655	83.370900
Bcobertura13Zona1ext	0.294399	297.082000	-0.206488	16.687300
Bcobertura14Zona1ext	0.258246	297.055000	-0.170622	96.813600
Bcobertura15Zona1ext	0.066535	297.113000	-0.043171	-29.320000
Bcobertura16Zona1ext	0.181960	297.080000	-0.127625	0.456458
Bcobertura17Zona1ext	0.153173	297.091000	-0.097657	-19.550100
Bfachada0Zona2ext	0.421023	297.143000	-0.055697	-1035.320000
Bfachada2Zona2ext	0.491462	297.109000	-0.177663	-956.951000
Bfachada0Zona3ext	0.467345	297.148000	-0.056389	-3015.540000
Bfachada2Zona3ext	0.544391	297.126000	-0.198121	-2988.590000
Bfachada0Zona4ext	0.438128	297.148000	-0.053134	-4972.750000
Bfachada2Zona4ext	0.517259	297.134000	-0.192624	-4975.140000
Bfachada0Zona5ext	0.365662	297.147000	-0.050739	-6929.500000
Bfachada2Zona5ext	0.408619	297.139000	-0.158396	-6936.070000
Bcobertura4Zona5ext	0.256237	297.134000	-0.189368	-7892.790000
Bfachada1Zona6ext	0.531520	297.122000	-0.198034	-1013.270000
Bfachada3Zona6ext	0.430946	297.110000	-0.154205	-957.579000
Bfachada1Zona7ext	0.541268	297.133000	-0.200886	-3015.540000
Bfachada3Zona7ext	0.524737	297.127000	-0.190347	-2988.720000
Bfachada1Zona8ext	0.471552	297.137000	-0.177027	-4972.890000
Bfachada3Zona8ext	0.503775	297.137000	-0.184217	-4975.210000
Bfachada1Zona9ext	0.381157	297.141000	-0.148556	-6930.510000
Bfachada3Zona9ext	0.391511	297.144000	-0.079619	-6936.190000
Bcobertura4Zona9ext	0.271467	297.133000	-0.200827	-7892.880000
Bfachada0Zona10ext	0.361030	297.132000	-0.135441	-3979.240000
Bfachada5Zona10ext	0.302602	297.148000	-0.039299	-3993.890000
Bfachada6Zona10ext	0.231488	297.147000	-0.089359	-3971.020000
Bcobertura7Zona10ext	0.206132	297.139000	-0.152197	-7897.950000
Bfachada0Zona11ext	0.387346	297.137000	-0.147081	-3992.880000
Bfachada5Zona11ext	0.346733	297.133000	-0.113055	-3979.610000
Bfachada6Zona11ext	0.231445	297.147000	-0.090430	-3970.340000
Bcobertura7Zona11ext	0.217574	297.138000	-0.161813	-7898.340000
Bfachada0Zona12ext	0.514742	297.125000	-0.189118	-3963.910000
Bfachada1Zona12ext	0.478990	297.129000	-0.138507	-3994.150000
Bfachada2Zona12ext	0.453244	297.146000	-0.058371	-3988.520000
Bcobertura7Zona12ext	0.318614	297.129000	-0.233149	-7896.150000
Bfachada0Zona13ext	0.507510	297.132000	-0.189763	-3982.440000
Bfachada1Zona13ext	0.446322	297.129000	-0.130863	-3987.630000
Bfachada2Zona13ext	0.490445	297.127000	-0.143695	-3963.550000
Bcobertura7Zona13ext	0.309113	297.129000	-0.228068	-7895.640000

