nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.412402	297.805000	-1.185100	325.180000
Bcobertura9Zona1ext	0.201284	297.866000	-0.502373	409.211000
Bcobertura13Zona1ext	0.188547	297.907000	-0.611930	-32.520900
Bcobertura14Zona1ext	0.386607	297.794000	-1.123460	280.641000
Bcobertura15Zona1ext	0.048189	297.912000	-0.170787	-98.953000
Bcobertura16Zona1ext	0.545658	297.891000	-2.275270	2966.950000
Bcobertura17Zona1ext	0.255125	297.882000	-0.760777	-85.538800
Bfachada0Zona2ext	0.266306	297.977000	-0.885904	-250.404000
Bfachada2Zona2ext	0.105130	297.972000	-0.265254	151.902000
Bfachada0Zona3ext	0.153391	298.087000	-0.522912	-375.963000
Bfachada2Zona3ext	0.042267	298.093000	-0.120588	-141.711000
Bfachada0Zona4ext	0.020056	298.126000	-0.075321	-422.369000
Bfachada2Zona4ext	0.086502	298.112000	-0.208038	-236.490000
Bfachada0Zona5ext	0.000012	298.130000	-0.000049	-442.312000
Bfachada2Zona5ext	0.131059	298.111000	-0.148205	-275.539000
Bcobertura4Zona5ext	0.074974	298.122000	-0.064393	-361.175000
Bfachada1Zona6ext	1.553700	297.725000	-4.955750	-675.597000
Bfachada3Zona6ext	0.803603	297.939000	-2.294300	174.498000
Bfachada1Zona7ext	3.716550	297.702000	-14.281000	-248.803000
Bfachada3Zona7ext	0.860257	297.999000	-2.499940	-142.630000
Bfachada1Zona8ext	2.898680	297.789000	-11.265600	-42.948400
Bfachada3Zona8ext	0.770150	298.032000	-2.187670	-245.029000
Bfachada1Zona9ext	1.819750	297.930000	-7.370920	-340.267000
Bfachada3Zona9ext	0.444034	298.070000	-1.206140	-257.192000
Bcobertura4Zona9ext	0.114760	298.084000	-0.531294	-116.886000
Bfachada0Zona10ext	0.527781	298.013000	-1.542360	-226.173000
Bfachada5Zona10ext	0.102934	298.087000	-0.324435	-382.095000
Bfachada6Zona10ext	0.094740	298.092000	-0.180033	-406.948000
Bcobertura7Zona10ext	0.007695	298.131000	-0.000209	-437.897000
Bfachada0Zona11ext	0.655954	297.954000	-2.360520	-234.806000
Bfachada5Zona11ext	0.467757	298.030000	-1.320520	-226.733000
Bfachada6Zona11ext	0.436723	298.030000	-1.396700	-366.209000
Bcobertura7Zona11ext	0.009510	298.119000	-0.012790	-310.779000
Bfachada0Zona12ext	0.066540	298.082000	-0.084732	-183.070000
Bfachada1Zona12ext	0.013690	298.095000	-0.034603	-333.168000
Bfachada2Zona12ext	0.000009	298.108000	-0.000039	-367.145000
Bcobertura7Zona12ext	0.177679	298.117000	-0.078289	-356.336000
Bfachada0Zona13ext	2.942570	297.858000	-10.712300	9537.880000
Bfachada1Zona13ext	0.480396	298.021000	-2.055020	-236.747000
Bfachada2Zona13ext	0.638239	298.008000	-1.800750	-162.924000
Bcobertura7Zona13ext	0.569305	298.015000	-3.076240	-181.507000

