nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.361916	297.714000	-1.258400	154.200000
Bcobertura9Zona1ext	0.108818	297.735000	-0.445183	142.146000
Bcobertura13Zona1ext	0.171964	297.880000	-0.593300	-158.467000
Bcobertura14Zona1ext	0.280681	297.724000	-0.951570	130.522000
Bcobertura15Zona1ext	0.182082	297.912000	-0.602332	-152.816000
Bcobertura16Zona1ext	0.065655	297.977000	-0.207952	-194.413000
Bcobertura17Zona1ext	0.333567	297.799000	-1.151040	-87.921300
Bfachada0Zona2ext	0.318320	297.938000	-0.869636	-245.586000
Bfachada2Zona2ext	0.000001	297.970000	-0.000001	-123.354000
Bfachada0Zona3ext	0.109455	298.045000	-0.319084	-468.027000
Bfachada2Zona3ext	0.124179	298.075000	-0.378317	-446.303000
Bfachada0Zona4ext	0.004299	298.102000	-0.017302	-568.332000
Bfachada2Zona4ext	0.070140	298.119000	-0.244074	-544.288000
Bfachada0Zona5ext	0.000000	298.129000	-0.000001	-589.928000
Bfachada2Zona5ext	0.003868	298.139000	-0.015829	-569.624000
Bcobertura4Zona5ext	0.000000	298.140000	-0.000000	-582.850000
Bfachada1Zona6ext	0.000054	298.058000	-0.000226	-346.402000
Bfachada3Zona6ext	0.313353	297.792000	-1.126110	-156.682000
Bfachada1Zona7ext	0.010850	298.107000	-0.042798	-470.003000
Bfachada3Zona7ext	0.249256	297.949000	-0.879467	-432.673000
Bfachada1Zona8ext	0.000687	298.130000	-0.003041	-529.285000
Bfachada3Zona8ext	0.042637	298.112000	-0.165361	-537.929000
Bfachada1Zona9ext	0.000000	298.138000	-0.000000	-561.275000
Bfachada3Zona9ext	0.000606	298.138000	-0.002742	-569.736000
Bcobertura4Zona9ext	0.000000	298.139000	-0.000000	-576.600000
Bfachada0Zona10ext	0.269341	298.041000	-0.879934	-422.856000
Bfachada5Zona10ext	0.335921	298.048000	-1.084160	-460.982000
Bfachada6Zona10ext	0.339618	298.047000	-1.121520	-461.266000
Bcobertura7Zona10ext	0.000025	298.140000	-0.000126	-584.163000
Bfachada0Zona11ext	0.385047	298.035000	-1.237970	-459.087000
Bfachada5Zona11ext	0.437452	298.005000	-1.438930	-423.956000
Bfachada6Zona11ext	0.361740	298.039000	-1.167240	-471.710000
Bcobertura7Zona11ext	0.000070	298.137000	-0.000389	-578.014000
Bfachada0Zona12ext	0.019314	298.080000	-0.060792	-436.924000
Bfachada1Zona12ext	0.009887	298.088000	-0.031486	-471.943000
Bfachada2Zona12ext	0.000541	298.096000	-0.001313	-464.854000
Bcobertura7Zona12ext	0.000000	298.139000	-0.000000	-575.956000
Bfachada0Zona13ext	0.000338	298.100000	-0.001448	-472.102000
Bfachada1Zona13ext	0.004173	298.097000	-0.011454	-472.185000
Bfachada2Zona13ext	0.272725	298.032000	-0.847510	-436.800000
Bcobertura7Zona13ext	0.000000	298.138000	-0.000000	-577.366000

