nom	CHTC	Ta	CHT	Cp
Bcobertura0Zona1ext	0.489094	297.787000	-1.247450	152.078000
Bcobertura9Zona1ext	0.199796	297.810000	-0.550471	96.734800
Bcobertura13Zona1ext	0.128636	297.957000	-0.342469	-231.201000
Bcobertura14Zona1ext	0.290916	297.823000	-0.756356	-33.424200
Bcobertura15Zona1ext	0.056821	297.972000	-0.163026	-210.491000
Bcobertura16Zona1ext	1.541400	297.992000	-5.929110	26151.700000
Bcobertura17Zona1ext	0.296242	297.894000	-0.779128	-193.109000
Bfachada0Zona2ext	0.053491	298.074000	-0.156128	-327.591000
Bfachada2Zona2ext	0.000002	297.911000	-0.000007	-149.455000
Bfachada0Zona3ext	0.016223	298.117000	-0.048865	-442.091000
Bfachada2Zona3ext	0.080111	298.109000	-0.221984	-406.882000
Bfachada0Zona4ext	0.001150	298.127000	-0.003934	-495.285000
Bfachada2Zona4ext	0.057209	298.133000	-0.141073	-519.602000
Bfachada0Zona5ext	0.000002	298.132000	-0.000002	-538.962000
Bfachada2Zona5ext	0.046965	298.141000	-0.003684	-590.539000
Bcobertura4Zona5ext	0.000006	298.137000	-0.000007	-607.269000
Bfachada1Zona6ext	2.483460	297.959000	-7.981160	-9272.520000
Bfachada3Zona6ext	0.615138	297.933000	-1.489430	-127.739000
Bfachada1Zona7ext	2.755230	297.960000	-9.238170	-567.079000
Bfachada3Zona7ext	0.688347	298.014000	-1.649100	-410.173000
Bfachada1Zona8ext	2.373250	297.999000	-8.040120	143.923000
Bfachada3Zona8ext	0.646670	298.050000	-1.576520	-527.157000
Bfachada1Zona9ext	1.176190	298.084000	-3.870140	-1901.980000
Bfachada3Zona9ext	0.476049	298.088000	-1.238260	-549.529000
Bcobertura4Zona9ext	0.082551	298.137000	-0.206411	-954.087000
Bfachada0Zona10ext	0.101226	298.034000	-0.234327	-428.821000
Bfachada5Zona10ext	0.248444	298.078000	-0.637145	-464.440000
Bfachada6Zona10ext	0.316346	298.052000	-0.819552	-610.680000
Bcobertura7Zona10ext	0.001685	298.136000	-0.004442	-650.940000
Bfachada0Zona11ext	3.115220	297.998000	-10.923000	71566.600000
Bfachada5Zona11ext	0.755292	298.008000	-1.957380	-409.349000
Bfachada6Zona11ext	0.925407	297.995000	-2.869640	-546.605000
Bcobertura7Zona11ext	0.032965	298.135000	-0.114199	-676.453000
Bfachada0Zona12ext	0.011678	298.072000	-0.018560	-458.271000
Bfachada1Zona12ext	0.007669	298.099000	-0.016059	-455.253000
Bfachada2Zona12ext	0.000692	298.114000	-0.002521	-443.854000
Bcobertura7Zona12ext	0.000004	298.140000	-0.000004	-566.297000
Bfachada0Zona13ext	0.647843	298.053000	-1.998850	-483.971000
Bfachada1Zona13ext	0.009417	298.125000	-0.026437	-448.245000
Bfachada2Zona13ext	0.394483	298.057000	-0.977360	-438.307000
Bcobertura7Zona13ext	0.011833	298.143000	-0.028966	-630.958000

